id,producto,precio,cantidad,ciudad
730,Producto M,127.42,13,Loja
731,Producto T,114.71,8,Portoviejo
732,Producto F,174.84,1,Esmeraldas
732,Producto F,174.84,1,Esmeraldas
733,Producto Q,53.92,20,Santo Domingo
734,Producto R,187.31,10,Portoviejo
735,Producto X,123.76,5,Quito
736,Producto N,53.02,10,Esmeraldas
737,Producto P,89.96,19,Cuenca
738,Producto G,166.95,8,Cuenca
739,Producto X,162.33,7,Cuenca
740,Producto S,136.13,11,Loja
741,Producto S,165.56,2,Cuenca
742,Producto L,112.76,3,Riobamba
743,Producto F,100.53,15,Ambato
744,Producto Z,119.51,7,Guayaquil
745,Producto R,170.65,15,Riobamba
746,Producto Q,163.65,19,Santo Domingo
747,Producto R,91.52,3,Ambato
748,Producto N,71.08,5,Cuenca
749,Producto B,74.64,9,Manta
750,Producto U,170.21,12,Riobamba
751,Producto O,111.84,20,Cuenca
752,Producto L,178.07,16,Manta
753,Producto M,,18,Ambato
754,Producto M,88.73,1,Portoviejo
755,Producto J,190.39,15,Santo Domingo
756,Producto Q,130.17,4,Guayaquil
757,Producto F,103.69,20,Loja
758,Producto C,136.75,15,Ambato
759,Producto S,148.62,7,Portoviejo
760,Producto L,153.4,1,Guayaquil
760,Producto L,153.4,1,Guayaquil
761,Producto U,118.84,5,Manta
762,Producto G,172.43,2,Guayaquil
763,Producto D,151.78,,Manta
764,Producto F,101.4,8,Ambato
765,Producto O,162.97,4,Manta
766,Producto S,91.91,7,Guayaquil
767,Producto G,,15,Cuenca
768,Producto F,160.19,4,Ambato
769,Producto M,50.2,19,Riobamba
770,Producto W,70.38,18,Esmeraldas
771,Producto F,122.61,12,Esmeraldas
772,Producto F,145.83,9,Guayaquil
773,Producto N,,17,Manta
774,Producto G,70.71,14,Guayaquil
775,Producto F,185.75,15,Manta
776,Producto D,124.25,20,Esmeraldas
777,Producto Q,72.87,9,Riobamba
778,Producto G,128.24,10,Loja
779,Producto D,112.54,12,Loja
780,Producto G,89.94,7,Manta
781,Producto X,86.93,8,Guayaquil
782,Producto X,88.09,9,Esmeraldas
783,Producto Z,106.23,14,Loja
784,Producto I,175.45,17,Quito
785,Producto T,90.03,6,Portoviejo
786,Producto B,149.08,7,Manta
787,Producto C,185.53,16,Ambato
788,Producto P,116.14,5,Guayaquil
789,Producto T,170.34,14,Portoviejo
790,Producto H,151.71,,Esmeraldas
791,Producto V,127.78,19,Loja
792,Producto W,73.34,9,Cuenca
793,Producto C,120.58,,Guayaquil
794,Producto P,169.98,11,Loja
795,Producto Z,76.84,2,Loja
796,Producto T,67.74,3,Guayaquil
797,Producto D,77.96,17,Guayaquil
798,Producto X,73.76,11,Manta
798,Producto X,73.76,11,Manta
799,Producto F,158.65,6,Cuenca
800,Producto C,120.66,5,Guayaquil
801,Producto B,112.85,6,Loja
802,Producto K,160.02,10,Ambato
803,Producto B,133.46,7,Santo Domingo
804,Producto E,98.68,9,Manta
805,Producto J,53.66,12,Guayaquil
806,Producto O,171.86,17,Portoviejo
807,Producto Q,153.41,5,Quito
808,Producto W,152.41,11,Portoviejo
809,Producto L,122.8,2,Santo Domingo
810,Producto W,82.27,7,Cuenca
811,Producto W,120.25,12,Ambato
812,Producto P,,18,Riobamba
813,Producto R,109.45,20,Ambato
814,Producto S,94.04,16,Loja
815,Producto Q,118.66,18,Guayaquil
816,Producto P,135.98,20,Portoviejo
817,Producto X,97.84,17,Loja
818,Producto U,,8,Esmeraldas
819,Producto P,72.4,10,Riobamba
820,Producto A,170.38,12,Portoviejo
821,Producto M,163.68,4,Quito
822,Producto D,80.72,8,Guayaquil
822,Producto D,80.72,8,Guayaquil
823,Producto I,168.39,3,Manta
824,Producto V,134.4,17,Quito
825,Producto H,111.36,4,Riobamba
826,Producto R,112.86,7,Manta
827,Producto R,70.36,8,Santo Domingo
828,Producto T,111.04,12,Guayaquil
829,Producto P,196.84,9,Quito
830,Producto S,80.42,17,Cuenca
831,Producto Z,146.11,13,Esmeraldas
832,Producto U,125.93,17,Esmeraldas
833,Producto I,151.13,5,Santo Domingo
834,Producto E,197.46,18,Loja
835,Producto T,106.1,13,Guayaquil
836,Producto O,166.54,15,Esmeraldas
837,Producto H,66.19,14,Guayaquil
838,Producto T,62.33,7,Esmeraldas
839,Producto U,158.61,6,Cuenca
840,Producto O,172.55,5,Cuenca
841,Producto B,111.34,3,Portoviejo
842,Producto X,128.54,1,Riobamba
843,Producto U,95.61,8,Esmeraldas
844,Producto X,135.96,7,Santo Domingo
845,Producto M,149.38,17,Guayaquil
846,Producto N,87.72,13,Guayaquil
847,Producto I,122.78,7,Manta
848,Producto W,161.52,18,Cuenca
849,Producto A,,8,Riobamba
850,Producto Y,69.59,11,Portoviejo
851,Producto D,65.39,4,Riobamba
852,Producto P,180.51,4,Ambato
853,Producto Y,99.66,18,Portoviejo
854,Producto T,84.74,17,Portoviejo
855,Producto S,59.06,13,Riobamba
856,Producto C,76.22,9,Portoviejo
857,Producto W,85.64,1,Ambato
858,Producto I,112.37,6,Loja
859,Producto Y,176.32,19,Guayaquil
860,Producto H,148.68,7,Esmeraldas
861,Producto D,88.56,7,Quito
862,Producto J,181.42,20,Loja
863,Producto R,169.6,3,Manta
863,Producto R,169.6,3,Manta
864,Producto A,154.52,,Riobamba
865,Producto U,134.11,17,Guayaquil
866,Producto H,172.83,7,Loja
867,Producto E,112.78,13,Esmeraldas
868,Producto L,184.83,12,Santo Domingo
869,Producto L,54.87,4,Cuenca
870,Producto T,56.76,13,Loja
871,Producto G,162.7,7,Santo Domingo
872,Producto W,71.22,6,Quito
873,Producto Y,166.21,19,Loja
874,Producto A,108.77,4,Portoviejo
875,Producto W,198.91,5,Santo Domingo
876,Producto C,52.47,4,Riobamba
877,Producto O,52.96,2,Riobamba
878,Producto Q,63.95,12,Esmeraldas
879,Producto B,192.17,9,Portoviejo
880,Producto C,72.82,8,Cuenca
881,Producto Q,108.25,11,Portoviejo
882,Producto N,67.83,1,Manta
883,Producto Z,139.33,,Riobamba
884,Producto Q,110.38,9,Manta
885,Producto M,84.23,1,Loja
886,Producto B,66.0,17,Quito
887,Producto W,190.91,,Riobamba
888,Producto S,179.32,15,Loja
889,Producto H,108.32,7,Ambato
890,Producto G,133.8,15,Cuenca
891,Producto T,121.0,8,Portoviejo
892,Producto F,163.23,18,Ambato
892,Producto F,163.23,18,Ambato
893,Producto R,74.64,3,Cuenca
894,Producto N,169.19,19,Quito
895,Producto N,147.82,17,Manta
896,Producto P,163.07,2,Santo Domingo
897,Producto Q,140.33,1,Manta
898,Producto M,108.91,17,Ambato
899,Producto A,52.63,16,Cuenca
900,Producto Q,95.25,9,Portoviejo
901,Producto U,139.64,3,Portoviejo
902,Producto P,117.29,9,Ambato
902,Producto P,117.29,9,Ambato
903,Producto O,90.44,2,Quito
904,Producto Y,110.01,16,Loja
905,Producto D,54.17,17,Portoviejo
906,Producto K,186.58,1,Cuenca
907,Producto T,151.77,9,Loja
908,Producto V,76.88,5,Ambato
909,Producto W,118.04,1,Santo Domingo
910,Producto Q,145.16,12,Ambato
911,Producto Y,66.05,14,Portoviejo
912,Producto F,120.42,,Esmeraldas
913,Producto A,99.8,12,Guayaquil
914,Producto A,190.56,5,Esmeraldas
915,Producto I,174.92,6,Esmeraldas
916,Producto H,181.33,10,Loja
917,Producto J,122.07,3,Cuenca
918,Producto S,86.76,12,Portoviejo
919,Producto Y,92.73,15,Loja
920,Producto J,64.26,5,Quito
921,Producto F,67.34,11,Ambato
922,Producto V,144.79,19,Riobamba
923,Producto P,199.77,12,Quito
924,Producto W,183.22,13,Guayaquil
925,Producto K,109.54,4,Riobamba
926,Producto F,104.99,9,Portoviejo
927,Producto X,74.33,19,Portoviejo
928,Producto T,72.23,,Quito
929,Producto Y,59.03,16,Esmeraldas
930,Producto U,98.93,6,Riobamba
931,Producto T,119.76,1,Loja
932,Producto S,196.07,1,Ambato
933,Producto Z,184.43,14,Quito
934,Producto K,56.83,11,Esmeraldas
935,Producto G,118.67,6,Quito
936,Producto N,136.7,18,Cuenca
937,Producto X,191.44,13,Riobamba
938,Producto D,116.34,14,Esmeraldas
939,Producto T,142.99,2,Manta
940,Producto E,129.4,3,Santo Domingo
941,Producto B,72.69,3,Portoviejo
942,Producto G,130.44,19,Quito
943,Producto J,89.83,7,Santo Domingo
944,Producto R,180.1,2,Cuenca
945,Producto L,180.8,20,Guayaquil
946,Producto T,76.51,10,Quito
947,Producto N,156.59,10,Guayaquil
948,Producto B,,6,Manta
949,Producto A,171.45,9,Quito
950,Producto Z,123.41,8,Manta
951,Producto G,185.94,15,Portoviejo
952,Producto Z,75.12,17,Guayaquil
953,Producto G,50.46,15,Portoviejo
954,Producto Q,88.83,,Riobamba
955,Producto R,80.2,19,Santo Domingo
956,Producto H,192.79,1,Loja
957,Producto Q,138.59,7,Manta
958,Producto U,126.33,5,Esmeraldas
959,Producto F,73.76,10,Guayaquil
960,Producto N,182.03,1,Guayaquil
961,Producto M,198.31,14,Guayaquil
962,Producto J,162.99,17,Loja
963,Producto C,130.19,19,Santo Domingo
964,Producto S,156.81,18,Ambato
965,Producto E,58.39,5,Loja
966,Producto P,,5,Cuenca
967,Producto C,,18,Ambato
968,Producto A,70.54,13,Guayaquil
969,Producto Z,173.23,4,Loja
970,Producto M,136.35,11,Riobamba
971,Producto A,103.89,20,Riobamba
972,Producto W,138.51,15,Manta
973,Producto C,196.4,3,Esmeraldas
974,Producto E,136.06,11,Quito
975,Producto D,148.08,2,Guayaquil
976,Producto M,160.04,13,Ambato
977,Producto G,101.28,14,Santo Domingo
978,Producto E,76.84,1,Esmeraldas
979,Producto F,67.21,14,Riobamba
980,Producto M,110.11,20,Quito
981,Producto S,159.62,2,Quito
982,Producto N,155.79,11,Cuenca
983,Producto D,126.96,5,Loja
984,Producto X,91.97,12,Santo Domingo
984,Producto X,91.97,12,Santo Domingo
985,Producto L,125.21,4,Santo Domingo
986,Producto J,81.57,7,Quito
987,Producto G,65.28,1,Loja
988,Producto Q,,20,Cuenca
989,Producto H,65.84,4,Portoviejo
990,Producto N,82.89,20,Quito
991,Producto J,119.12,11,Cuenca
992,Producto I,159.48,16,Riobamba
993,Producto O,196.12,1,Guayaquil
994,Producto B,154.74,5,Ambato
995,Producto W,111.87,11,Guayaquil
996,Producto I,,15,Cuenca
997,Producto Z,153.15,6,Loja
998,Producto Y,59.52,20,Loja
999,Producto Q,117.76,5,Esmeraldas
1000,Producto X,169.21,19,Riobamba
